FPR,TPR
0.0,0.0
0.0,0.00267379679144385
0.0,0.016042780748663103
0.000966183574879227,0.016042780748663103
0.000966183574879227,0.040106951871657755
0.001932367149758454,0.040106951871657755
0.001932367149758454,0.06149732620320856
0.003864734299516908,0.06149732620320856
0.003864734299516908,0.06684491978609626
0.004830917874396135,0.06684491978609626
0.004830917874396135,0.08021390374331551
0.005797101449275362,0.08021390374331551
0.005797101449275362,0.09893048128342247
0.00676328502415459,0.10160427807486631
0.00676328502415459,0.11497326203208556
0.007729468599033816,0.11497326203208556
0.007729468599033816,0.13903743315508021
0.008695652173913044,0.13903743315508021
0.008695652173913044,0.1443850267379679
0.00966183574879227,0.1443850267379679
0.00966183574879227,0.15775401069518716
0.011594202898550725,0.15775401069518716
0.011594202898550725,0.18716577540106952
0.014492753623188406,0.18716577540106952
0.014492753623188406,0.19518716577540107
0.015458937198067632,0.19518716577540107
0.015458937198067632,0.20320855614973263
0.01642512077294686,0.20320855614973263
0.01642512077294686,0.20855614973262032
0.017391304347826087,0.20855614973262032
0.017391304347826087,0.21657754010695188
0.018357487922705314,0.21657754010695188
0.018357487922705314,0.22727272727272727
0.020289855072463767,0.22727272727272727
0.020289855072463767,0.232620320855615
0.021256038647342997,0.232620320855615
0.021256038647342997,0.23529411764705882
0.022222222222222223,0.23529411764705882
0.022222222222222223,0.25935828877005346
0.024154589371980676,0.25935828877005346
0.024154589371980676,0.2620320855614973
0.025120772946859903,0.2620320855614973
0.025120772946859903,0.2727272727272727
0.02608695652173913,0.2727272727272727
0.02608695652173913,0.27540106951871657
0.028019323671497585,0.27540106951871657
0.028019323671497585,0.27807486631016043
0.02995169082125604,0.27807486631016043
0.02995169082125604,0.2887700534759358
0.030917874396135265,0.2887700534759358
0.030917874396135265,0.29411764705882354
0.033816425120772944,0.29411764705882354
0.033816425120772944,0.3048128342245989
0.03671497584541063,0.3048128342245989
0.03671497584541063,0.31016042780748665
0.03768115942028986,0.31016042780748665
0.03768115942028986,0.31283422459893045
0.03864734299516908,0.31283422459893045
0.03864734299516908,0.3181818181818182
0.03961352657004831,0.3181818181818182
0.03961352657004831,0.32085561497326204
0.04057971014492753,0.32085561497326204
0.04057971014492753,0.32887700534759357
0.04154589371980676,0.32887700534759357
0.04154589371980676,0.3315508021390374
0.04251207729468599,0.3315508021390374
0.04251207729468599,0.3449197860962567
0.044444444444444446,0.3449197860962567
0.044444444444444446,0.3663101604278075
0.04541062801932367,0.3663101604278075
0.04541062801932367,0.3716577540106952
0.04734299516908213,0.3716577540106952
0.04734299516908213,0.37433155080213903
0.05314009661835749,0.37433155080213903
0.05314009661835749,0.37967914438502676
0.05410628019323672,0.37967914438502676
0.05410628019323672,0.3850267379679144
0.05507246376811594,0.3850267379679144
0.05507246376811594,0.39037433155080214
0.05603864734299517,0.39037433155080214
0.05603864734299517,0.393048128342246
0.057004830917874394,0.393048128342246
0.057004830917874394,0.40641711229946526
0.057971014492753624,0.40641711229946526
0.057971014492753624,0.4144385026737968
0.05893719806763285,0.4144385026737968
0.05893719806763285,0.43315508021390375
0.06086956521739131,0.43315508021390375
0.06086956521739131,0.4385026737967914
0.06280193236714976,0.4385026737967914
0.06280193236714976,0.446524064171123
0.06376811594202898,0.446524064171123
0.06376811594202898,0.44919786096256686
0.06666666666666667,0.44919786096256686
0.06666666666666667,0.45187165775401067
0.06763285024154589,0.45187165775401067
0.06763285024154589,0.45454545454545453
0.06859903381642513,0.45454545454545453
0.06859903381642513,0.4572192513368984
0.07053140096618357,0.4572192513368984
0.07053140096618357,0.45989304812834225
0.07149758454106281,0.45989304812834225
0.07149758454106281,0.4625668449197861
0.07246376811594203,0.4625668449197861
0.07246376811594203,0.4679144385026738
0.07342995169082125,0.4679144385026738
0.07342995169082125,0.47593582887700536
0.07632850241545894,0.47593582887700536
0.07632850241545894,0.4786096256684492
0.07729468599033816,0.4786096256684492
0.07729468599033816,0.48663101604278075
0.0782608695652174,0.48663101604278075
0.0782608695652174,0.4919786096256685
0.08115942028985507,0.4919786096256685
0.08115942028985507,0.4946524064171123
0.08309178743961353,0.4946524064171123
0.08309178743961353,0.5
0.08502415458937199,0.5
0.08502415458937199,0.5080213903743316
0.08599033816425121,0.5080213903743316
0.08599033816425121,0.5133689839572193
0.08792270531400966,0.5133689839572193
0.08792270531400966,0.5267379679144385
0.09082125603864734,0.5267379679144385
0.09082125603864734,0.5294117647058824
0.0927536231884058,0.5294117647058824
0.0927536231884058,0.5320855614973262
0.09371980676328502,0.5320855614973262
0.09371980676328502,0.5374331550802139
0.09468599033816426,0.5374331550802139
0.09468599033816426,0.5481283422459893
0.0966183574879227,0.5481283422459893
0.0966183574879227,0.5508021390374331
0.09758454106280193,0.5508021390374331
0.09758454106280193,0.553475935828877
0.10048309178743961,0.553475935828877
0.10048309178743961,0.5588235294117647
0.10338164251207729,0.5588235294117647
0.10338164251207729,0.5614973262032086
0.10531400966183575,0.5614973262032086
0.10531400966183575,0.5641711229946524
0.10917874396135266,0.5641711229946524
0.10917874396135266,0.5668449197860963
0.11207729468599034,0.5668449197860963
0.11207729468599034,0.56951871657754
0.11400966183574879,0.56951871657754
0.11400966183574879,0.5775401069518716
0.11594202898550725,0.5775401069518716
0.11594202898550725,0.5802139037433155
0.11980676328502415,0.5802139037433155
0.11980676328502415,0.5855614973262032
0.12270531400966184,0.5855614973262032
0.12270531400966184,0.5882352941176471
0.12367149758454106,0.5882352941176471
0.12367149758454106,0.5909090909090909
0.1246376811594203,0.5909090909090909
0.1246376811594203,0.5935828877005348
0.12560386473429952,0.5935828877005348
0.12560386473429952,0.5962566844919787
0.1285024154589372,0.5962566844919787
0.1285024154589372,0.5989304812834224
0.13333333333333333,0.5989304812834224
0.13333333333333333,0.6016042780748663
0.13816425120772946,0.6016042780748663
0.13816425120772946,0.6042780748663101
0.14009661835748793,0.6042780748663101
0.14009661835748793,0.6096256684491979
0.14202898550724638,0.6096256684491979
0.14202898550724638,0.6122994652406417
0.14299516908212562,0.6122994652406417
0.14299516908212562,0.6149732620320856
0.14492753623188406,0.6149732620320856
0.14492753623188406,0.6176470588235294
0.1497584541062802,0.6176470588235294
0.1497584541062802,0.6256684491978609
0.15265700483091788,0.6256684491978609
0.15265700483091788,0.6283422459893048
0.15458937198067632,0.6283422459893048
0.15458937198067632,0.6336898395721925
0.15555555555555556,0.6336898395721925
0.15555555555555556,0.6497326203208557
0.15845410628019324,0.6497326203208557
0.15845410628019324,0.6524064171122995
0.15942028985507245,0.6524064171122995
0.15942028985507245,0.6550802139037433
0.1603864734299517,0.6550802139037433
0.1603864734299517,0.6631016042780749
0.16328502415458937,0.6631016042780749
0.16328502415458937,0.6657754010695187
