Model,Accuracy,ROC_AUC,Recall
Logistic Regression,0.752306600425834,0.8520137435738458,0.7914438502673797
Random Forest,0.7785663591199432,0.8482510527267562,0.7032085561497327
Ensemble,0.7778566359119943,0.8454209615334934,0.6310160427807486
XGBoost Tuned,0.7856635911994322,0.838917306052856,0.5828877005347594
XGBoost,0.7764371894960965,0.8327314061329407,0.5641711229946524
ANN,0.7601135557132718,0.8262135420703196,0.7192513368983957
